gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SAE-1 TPM,SAE-2 TPM,SAE-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SAE-1 Normalised Read Counts,SAE-2 Normalised Read Counts,SAE-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
TMEM181,39.5,39.04,39.82,51.21,51.22,51.07,3040.887553,3015.461224,3040.431335,4150.39657,4190.130568,4166.787304,1.374915414,Up,0
WTAP,70.57,67.97,71.92,163.29,151.42,158.99,1604.405104,1553.570864,1617.507494,3829.493987,3605.918853,3774.525555,2.347384943,Up,0
ZMYM4,27.63,31.48,25.64,31.3,29.87,30.94,2338.676599,2348.166422,2307.99973,2461.678054,2489.908518,2467.835868,1.060698701,Up,1
ARMT1,26.19,26.23,28.05,25.95,30.21,26.37,917.0287356,862.897346,926.165202,967.3510318,1084.516639,964.9172899,1.114811438,Up,0.248490733
SLC22A3,1.41,1.34,1.37,5.61,6.28,5.71,65.86394234,62.70512167,63.25994976,276.3860091,312.5408181,283.1585726,4.545605561,Up,0
VWDE,0.03,0.04,0.07,0.01,0.04,0,2.026582841,2.807692015,4.942183575,0.921286697,3.125408181,0,2.405492372,Down,1
GNA12,50.68,49.06,52.32,54.88,50.95,56.35,2627.464653,2502.589483,2627.264789,3023.662939,2832.661615,3052.667227,1.14846217,Up,8.17589E-07
C7orf50,32.45,27.4,26.11,20.69,25.25,22.07,394.1703626,351.8973992,331.1262995,290.2053095,292.7465663,290.7820727,1.232854781,Down,0.003485479
SDK1,0.45,0.33,0.26,0.54,0.45,0.43,16.21266273,18.71794677,16.80342416,22.11088073,31.25408181,27.22678583,1.557485819,Up,1
WASH2P,2.67,2.45,2.3,1.94,1.71,3.01,75.13555883,78.22229954,64.02104603,62.42638658,57.9138136,94.68387041,1.010949962,Down,0.856998869
CCZ1B,52.9,49.93,51,53.76,59.47,49.28,959.6072411,1087.812194,972.9973335,1075.325833,1128.949525,1030.490281,1.070965948,Up,0.846982422
C7orf26,13.89,15.26,13.85,11.59,8.71,11.55,325.266546,338.7948365,335.0800464,266.2518554,230.2384027,269.000644,1.305217697,Down,0.999996437
RBAK,9.71,8.97,10.89,10.63,10.4,10.65,863.6586765,847.0993989,979.5111315,956.9865564,949.9469806,1005.212933,1.082473081,Up,0.754601076
CREB5,2.69,2.33,3.1,2.4,2.13,2.45,194.5519527,239.5897186,234.2595015,170.4380389,164.6048309,230.8831438,1.181065589,Down,0.725105131
EGFR,44.14,44.08,41.07,45.43,41.51,44.07,5929.781393,5858.717338,5649.904263,6410.312837,5991.407483,6275.229598,1.07102398,Up,0.177779054
LINC00525,0.14,0.13,0.07,0.12,0.26,0.28,2.026582841,1.871794677,0.988436715,1.842573394,4.167210908,4.356285733,2.114391462,Up,1
CDCA5,0.77,0.82,0.83,1.6,1.03,1.57,22.29241125,29.01281749,26.68779131,59.8836353,34.37948999,49.0082145,1.836654614,Up,0.008312281
IGFBP3,181.22,179.07,183.96,859.37,825.37,854.01,5662.272458,5619.12762,5679.557365,28523.03614,27533.80427,28423.67534,4.980874258,Up,0
PURB,11.85,12.3,12.19,15.4,15.26,15.06,1558.442205,1623.781882,1590.394674,2130.014843,2129.444774,2096.462509,1.33174521,Up,0
AC004453.8,6.48,7.07,5.98,3.36,6.59,4.27,20.3266259,22.53640791,18.81983505,12.05964286,24.12815116,15.30145364,1.197860444,Down,1
IGFBP1,0.23,0.36,0.05,1.57,1.44,2.17,5.066457103,7.487178707,0.988436715,35.93018118,33.33768727,50.09728593,8.797120275,Up,0
SSC4D,1.13,1.41,1.77,0.68,0.51,1.07,19.25253699,22.46153612,27.67622802,12.89801376,8.334421817,20.69235723,1.65464531,Down,1
MDH2,73.51,70.11,75.75,88.8,81.61,76.14,1887.761916,1882.089547,1856.284151,2375.077105,2186.743924,2228.240152,1.206877232,Up,9.20375E-14
POMZP3,4.2,4.47,3.33,3.03,2.99,3.53,78.97593332,82.48063243,63.94197109,58.0134233,61.51845103,64.94132956,1.221813671,Down,1
AC006014.8,0,0,0,0,0.11,0,0,0,0,0,0.520901364,0,18.36337878,Up,1
GBAS,45.08,42.95,47.49,28.82,29.17,29.05,1002.145215,1036.038354,992.3904619,795.0704194,789.6864671,686.115003,1.334537632,Down,2.69784E-14
CCT6A,123.47,125.13,136.8,149.68,141.16,143.84,3411.721814,3458.047076,3455.475912,3891.386028,3999.334817,3973.967206,1.149094652,Up,5.1811E-11
