gene_name,Ctrl-1 TPM,Ctrl-2 TPM,Ctrl-3 TPM,SP-1 TPM,SP-2 TPM,SP-3 TPM,Ctrl-1 Normalised Read Counts,Ctrl-2 Normalised Read Counts,Ctrl-3 Normalised Read Counts,SP-1 Normalised Read Counts,SP-2 Normalised Read Counts,SP-3 Normalised Read Counts,Real Fold Change,Regulation Type,"FDR
"
GUSBP4,0.15,1,0.45,0.45,0,0.12,1.053749941,7.132058627,3.211119426,3.195960638,0,0.859022369,2.797301231,Down,0.808204793
PSMD6-AS2,0.3,0.25,0.33,0.33,0.28,0.4,10.23058195,8.535708463,11.00383604,11.41414514,9.380676005,13.3440368,1.146601106,Up,1
RP11-295P9.3,4.48,5.58,3.14,5.12,3.96,3.66,84.91383016,88.20232078,64.02231877,94.88267556,62.14697853,67.01208479,1.058448829,Down,0.981929364
NME1,94.82,92.45,91.18,86.1,95.54,93.7,1067.233848,1040.40802,1018.775154,974.3114288,1060.813746,1072.526958,1.006038227,Down,0.998543028
PDZRN3-AS1,0,0.76,0.27,0.74,0,0.83,0,7.38812988,2.360823005,7.08714648,0,8.056462216,1.551659863,Up,0.92303737
TNFSF12,24.98,23.03,24.04,21.32,28.84,22.11,342.7244952,376.5195844,343.1196146,332.9506136,424.4755892,333.6009199,1.026980044,Up,0.992731374
CDRT4,0.63,0,2.42,0.48,0.73,0.26,4.092232779,0,54.4589849,3.112948673,4.690338002,1.709704715,6.138663998,Down,0.637568002
APOBEC3G,5.96,5.8,5.86,8.5,9.97,7.7,137.7445553,136.3721689,133.5265486,180.675541,175.9345785,175.3656636,1.304980774,Up,0.999999999
HLTF-AS1,0,0,0.3,0,0,0,0,0,1.000348731,0,0,0,34.34495769,Down,1
RP4-800G7.1,0,0,2.46,2.9,0,3.75,0,0,1.020355705,1.058402549,0,1.884845198,2.830705571,Up,1
AC009120.3,0.25,0.91,1.21,0.76,0.86,0.78,1.023058195,3.793648206,5.001743654,3.112948673,3.517753502,3.336009199,1.01505428,Up,1
AC017116.11,0,0,0.18,0,0,0,0,0,1.350470786,0,0,0,46.01569288,Down,1
WBP1,52.28,47.39,47.87,38.42,42.4,41.21,828.8510576,780.7328007,793.9367736,674.2439297,697.5822453,669.1450652,1.177633107,Down,0.99999951
MRPS17,10.13,9.37,10.47,8.46,14.04,13.14,249.5341243,232.8446427,238.1930363,211.5456153,275.8622296,246.0306785,1.01785552,Up,0.992552583
AC002310.7,0.11,0,0,0,0,0.16,2.046116389,0,0,0,0,2.5020069,1.219588127,Up,0.886361564
RN7SL653P,0,0,0,0.67,0,0,0,0,0,1.037649558,0,0,35.58831859,Up,1
DENND6A-AS1,0,0,0,0,0,0.31,0,0,0,0,0,0.8340023,28.80007666,Up,1
RP11-379B18.1,0,0,0.84,0,0,0,0,0,1.000348731,0,0,0,34.34495769,Down,1
RN7SL213P,0,0,0,0.56,0,0,0,0,0,1.037649558,0,0,35.58831859,Up,1
SUGT1P3,1.6,0.86,2.21,0.08,1.17,0.19,4.092232779,2.845236154,7.002441115,1.037649558,3.517753502,2.5020069,1.971088187,Down,1
RP11-446H18.5,2.41,3.32,2.77,2.25,3.31,3.69,15.34587292,20.86506513,17.00592842,12.45179469,21.10652101,22.5180621,1.053702903,Up,1
GET4,13.02,11.73,9.84,11.54,11.88,11.84,356.2697857,327.2021577,277.0965984,327.9491427,298.985596,323.5928923,1.010563179,Down,0.991906613
IGSF11-AS1,0,0,0,0,0.06,0,0,0,0,0,1.172584501,0,40.08615002,Up,1
PARGP1,2.33,2.12,2.63,1.7,2.7,2.39,31.04981621,34.10489737,37.22297627,32.34353672,30.25268012,35.77869866,1.040676569,Down,1
RN7SL608P,0,1.96,0.7,0,0.82,0,0,2.845236154,1.000348731,0,1.172584501,0,3.222713151,Down,0.982614459
C1orf226,0.21,0.16,0.53,0.17,0.16,0.2,12.27669834,9.484120514,12.00418477,10.25197763,9.380676005,10.0080276,1.139003293,Down,1
ADSL,41.09,38.56,38.26,35.78,40.14,35.62,954.5132956,948.0042342,917.3197861,866.2817333,893.2865984,858.8305483,1.076931032,Down,1
RP11-34P13.14,0,0.64,2.31,0,0,0,0,1.308808631,4.621611136,0,0,0,198.6806589,Down,1
RN7SL75P,0,0,1.37,0,0,0,0,0,2.000697461,0,0,0,67.68991538,Down,1
PRKAG2-AS1,0,0,0,0,0.84,0.06,0,0,0,0,7.035507004,0.8340023,263.3169768,Up,1
AC015691.13,0.2,0,0,0.41,0,0,1.023058195,0,0,2.075299116,0,0,1.999223904,Up,0.928127859
RP11-71N10.1,0.3,0,0,0,0,0.02,1.023058195,0,0,0,0,0.8340023,1.218814111,Down,1
AP001625.4,0,0,0,0,0.31,0,0,0,0,0,1.172584501,0,40.08615002,Up,1
RN7SL606P,0,0,0,0,0.73,0,0,0,0,0,1.172584501,0,40.08615002,Up,1
RP11-34P13.8,0.58,0.28,0.89,0.79,0,0.15,9.811128087,4.694639654,14.87518563,13.35454981,0,2.552047038,1.845497734,Down,0.920748688
RN7SL368P,0.74,0,0,0.78,0,0,1.023058195,0,0,1.037649558,0,0,1.013856179,Up,1
RP11-163E9.2,0.62,0.53,1.6,1.72,1.62,1.93,3.734162411,3.224600975,7.02244809,8.89265671,9.69727382,11.50089171,2.149765729,Up,1
RP11-460N20.3,0.97,0,0,0,0,0,0.480837351,0,0,0,0,0,17.02791172,Down,1
RPL7P24,0.12,0,0,0,0,0,1.023058195,0,0,0,0,0,35.10193982,Down,1
RP11-293A21.1,0.63,2.86,0.61,0.66,0,0,1.023058195,4.742060257,1.000348731,1.037649558,0,0,6.364885493,Down,0.714061595
RP11-200A1.1,0,0,0,0,0.73,0,0,0,0,0,1.172584501,0,40.08615002,Up,1
SLC9A9-AS1,0,0.2,0,0,0,0,0,0.948412051,0,0,0,0,32.61373505,Down,1
TEX35,0,0,0.44,0.12,0,0.09,0,0,1.000348731,1.037649558,0,0.8340023,1.845639055,Up,1
LINC00888,5.92,5.63,5.78,6.78,6.41,6.19,100.2597031,100.5316774,102.0355705,116.2167505,100.8422671,109.2543013,1.077549377,Up,1
